case_id,collision_date,collision_time,latitude,longitude,collision_severity,pcf_violation_category,timestamp,sensor_id,dist_to_sensor,paper_type
8359005,2017-01-10,18:16:00,37.33757,-121.94344,pain,automobile right of way,2017-01-10 18:16:00,400723,0.007487712067107647,Minor
8359017,2017-01-01,12:18:00,37.4105,-121.97804,pain,speeding,2017-01-01 12:18:00,400973,0.009142327165435922,Minor
8359021,2017-01-03,13:43:00,37.3493,-121.9341,other injury,automobile right of way,2017-01-03 13:43:00,400709,0.010265155916979577,Minor
8359038,2017-01-29,23:47:00,37.40852,-121.96141,property damage only,dui,2017-01-29 23:47:00,400567,0.010506181133024753,Minor
8359282,2017-04-22,04:50:00,37.41531,-121.87777,pain,traffic signals and signs,2017-04-22 04:50:00,407152,0.0030770976585138233,Minor
8359290,2017-04-17,07:53:00,37.43447,-121.88893,property damage only,improper passing,2017-04-17 07:53:00,407184,0.00816120168846863,Minor
8359294,2017-04-21,13:06:00,37.43282,-121.89613,other injury,improper turning,2017-04-21 13:06:00,407184,0.012515087414788902,Minor
8359321,2017-03-31,19:42:00,37.43103,-121.89749,pain,automobile right of way,2017-03-31 19:42:00,407184,0.013152007185215111,Minor
8359325,2017-04-07,17:30:00,37.41927,-121.9023,property damage only,speeding,2017-04-07 17:30:00,400088,0.011233154009460204,Minor
8359329,2017-04-07,09:09:00,37.42566,-121.87169,property damage only,unsafe starting or backing,2017-04-07 09:09:00,407151,0.01150734417665255,Minor
8359333,2017-04-06,17:07:00,37.41406,-121.91692,other injury,unknown,2017-04-06 17:07:00,400088,0.004335482556758172,Minor
8359337,2017-04-14,13:10:00,37.43501,-121.88659,pain,unsafe starting or backing,2017-04-14 13:10:00,407184,0.007803910109673852,Minor
8359341,2017-04-15,08:17:00,37.4259,-121.91537,pain,speeding,2017-04-15 08:17:00,401464,0.0012647252666112983,Minor
8359349,2017-04-07,10:27:00,37.41639,-121.87526,property damage only,speeding,2017-04-07 10:27:00,407152,0.005500142725427349,Minor
8359353,2017-04-05,16:50:00,37.4387,-121.91529,property damage only,improper turning,2017-04-05 16:50:00,401489,0.011337961897975387,Minor
8359357,2017-04-22,05:31:00,37.41575,-121.90496,pain,traffic signals and signs,2017-04-22 05:31:00,400088,0.007762491159423139,Minor
8359447,2017-04-21,12:32:00,37.42056,-121.91727,other injury,automobile right of way,2017-04-21 12:32:00,402119,0.0023189739110094885,Minor
8359463,2017-04-16,13:02:00,37.41594,-121.87863,pain,speeding,2017-04-16 13:02:00,407152,0.002125165875881231,Minor
8359467,2017-04-12,21:05:00,37.41344,-121.90441,pain,traffic signals and signs,2017-04-12 21:05:00,400238,0.007916138705201812,Minor
8359471,2017-04-10,07:38:00,37.41208,-121.88786,pain,speeding,2017-04-10 07:38:00,407190,0.007861802910283221,Minor
8359475,2017-04-10,07:51:00,37.40437,-121.90287,other injury,unknown,2017-04-10 07:51:00,402286,0.007122001123283494,Minor
8359479,2017-04-05,07:56:00,37.43497,-121.88668,other injury,unsafe starting or backing,2017-04-05 07:56:00,407184,0.007785609353152295,Minor
8359483,2017-04-05,00:36:00,37.43314,-121.89979,pain,improper turning,2017-04-05 00:36:00,407184,0.016005515705521004,Minor
8359679,2017-02-27,05:14:00,37.40599,-121.99698,pain,traffic signals and signs,2017-02-27 05:14:00,400274,0.0036471568378653903,Minor
8360000,2017-02-05,02:48:00,37.40881,-121.96452,property damage only,dui,2017-02-05 02:48:00,400567,0.010262613799611076,Minor
8360117,2017-03-31,07:58:00,37.44331,-121.89185,other injury,other than driver (or pedestrian),2017-03-31 07:58:00,407184,0.01737989220334026,Minor
8360125,2017-03-31,00:56:00,37.41557,-121.91358,other injury,traffic signals and signs,2017-03-31 00:56:00,400088,0.0010675902772018736,Minor
8360605,2017-03-31,18:53:00,37.41554,-121.87781,property damage only,speeding,2017-03-31 18:53:00,407152,0.0029889078272904335,Minor
8364581,2017-03-15,17:33:00,37.40321,-121.99607,property damage only,improper turning,2017-03-15 17:33:00,400970,0.006469125597789996,Minor
8364723,2017-04-14,17:17:00,37.40699,-121.9027,property damage only,improper turning,2017-04-14 17:17:00,402286,0.0072365544287344725,Minor
